Restaurant Name,Aggregate rating,Votes,correl,
US Pizza,2.2,134,,
Timboo Cafe,4.2,134,,
Smokin Gold BBQ,3.9,133,,
Peshawri - ITC Mughal,4.3,133,,
Rigo Noodles,3.5,133,,
Above & Beyond,3.5,133,,
Sagar Ratna,2.8,133,,
Kiss Kiss,4.3,133,,
Bank,4,133,,
Sushi Family,3.6,132,,
Cafe Totaram,4,132,,
Plan B,3.4,132,,
Jungle The Restaurant,3.7,132,,
Starbucks,3.5,132,,
Urban Punjab,3.5,132,,
McDonald's,3.3,132,,
FreshMenu,3.7,132,,
Subway,3.3,132,,
Chutneez Restaurant Lounge & Bar,2.7,132,,
Sam and Scrooge,3.9,132,,
Freshco - The Health Caf??,4.2,132,,
Shot Tower Inn,3.6,131,,
First Gear Cafe,3.9,131,,
Wildfire - Crowne Plaza,3.7,131,,
Pandit Ji Paranthe Wale,3.7,131,,
Cress Bistro,3.6,131,,
Tandoor Bar-Be-Que,3.5,131,,
Sharma Kachoriwala,3.7,131,,
Diva Spiced,3.7,131,,
Subway,3.4,131,,
Sagar Ratna,2.3,131,,
Mirror,3.3,131,,
Subway,2.5,131,,
Elixir Health Caf??,3.7,131,,
wagamama,3.7,131,,
Rocomamas,3.6,131,,
D?_vero??lu,4.4,131,,
Cocoberry,3.6,130,,
Moti Mahal Delux,3.8,130,,
Tilak's The Diners,3.1,130,,
Bread & More,3.7,130,,
Andrea's Eatery,4.3,130,,
Kabir Kitchen,3.8,130,,
Mimi's Bakehouse,4.6,130,,
Fuji Bay Japanese Restaurant,3.7,129,,
Hunan Palace,3.8,129,,
Kwaliti,3.3,129,,
Big Jack's,3.5,129,,
IZU,3.4,129,,
The Woking Mama,4.4,129,,
Hotel Malabar,3.6,129,,
Bikanervala,3.2,129,,
Spotlight Bistro & Bar,4,129,,
Shree Gopal Ji Chole Bhature,3.9,129,,
Samarkand,3.3,129,,
Eden Kitchen & Bar,3.1,129,,
Bailey's Bar-B-Que,4.1,128,,
Kebabsville - Sayaji Hotel,4.3,128,,
MB's,3.1,128,,
The Kylin Experience - Holiday Inn,3.7,128,,
Bemisaal Reloaded,3.8,128,,
Puri Bakers,3.7,128,,
The Taste of Delhi,3.3,128,,
Little Chef,3.4,128,,
Band Baaja Baaraat,4.6,128,,
Chicken Khurana,2.7,128,,
Handi Chhareyan Di,2.3,128,,
Say Cheese,2.7,128,,
The Pint Room,3.7,127,,
Whisky Samba,3.8,127,,
Chaayos,3.8,127,,
UrbanCrave,3.9,127,,
Smoke N Oven,3.5,127,,
Tandooriwala,3.5,127,,
McDonald's,3.4,127,,
Yo! China,3.6,127,,
The Coffee Bean & Tea Leaf,3.6,127,,
Basil & Thyme,3.6,127,,
Maranui Cafe,4.3,127,,
Active Sushi,3.8,127,,
Los Aztecas,3.5,126,,
The Kasbah,3.9,126,,
Perfect Bake,3.6,126,,
The Basement Caf??,4.7,126,,
Embassy,3,126,,
Chawla's?_,2.3,126,,
Stop My Starvation,4.3,126,,
Hawalat Lounge & Bar,4,126,,
The Canteen,3.5,126,,
Crazy Cow,2.2,126,,
New Eleven to Eleven,3,126,,
Food Express,3.6,126,,
Biryani By Kilo,4.1,126,,
Turta Home Cafe,4.3,126,,
Chick-fil-A,3.9,125,,
Domino's Pizza,2.4,125,,
Subway,2.5,125,,
Mukhtalif Biryanis,3.7,125,,
Veg Aroma,3.6,125,,
Pizza Hut,2.6,125,,
Cafe Coffee Day,3.6,125,,
KFC,3.2,125,,
Kerala Cafe,3.6,125,,
The Square - Hotel Novotel,4.1,125,,
Hippopotamus - Museum Hotel,4.4,125,,
Kites Cafe,3.8,124,,
Sushi Haus,3.8,124,,
Monty's Chicken Wings,3.9,124,,
The Zouq : Resto-Cafe,4.1,124,,
Underdoggs Sports Bar & Grill,4.3,124,,
Puri Bakers,3.7,124,,
Jahangeer Foods,3.8,124,,
The Health Box,3.5,124,,
Chutneez Restaurant Lounge & Bar,2.4,124,,
Chaayos,3.9,124,,
#Dilliwaala6,3.7,124,,
My Restaurant,3.5,124,,
Hattena Hatay  Sofras?,4.6,124,,
Ruth Ann's Family Restaurant,3.7,123,,
Front Street Brewery,4.3,123,,
Raju Chat Palace,3.9,123,,
Raffles,3.1,123,,
Domino's Pizza,3.5,123,,
Freedom Corner,3.5,123,,
Bun Intended,3.8,123,,
Haaochi,3.5,123,,
The Bigos,3.8,123,,
Christian and Jake's Bistro,4.4,122,,
Filling Station,4.1,122,,
Miles Inn,3.7,122,,
Crystal Restaurant,3.4,122,,
Romi da Dhaba,3.1,122,,
Bemisaal,3.4,122,,
Chowringhee,3.4,122,,
McDonald's,3.6,122,,
Giani's,3.9,122,,
Habibi Express,2.2,122,,
Beijing Street,3.8,122,,
Cafetorium,3.8,122,,
Carnival Ice Cream,4.1,122,,
Butterburrs,3.6,121,,
Dasaprakash Restaurant,4.1,121,,
Doon Darbar,3.9,121,,
Kabab Roll Cafe,3.8,121,,
The Tandoor,3.4,121,,
Nathu's Sweets,2.1,121,,
Mogambo Khush Hua,3.8,121,,
Shree Rathnam,3.3,121,,
World Art Dining - Brew House,3.8,121,,
Wanchai By Kylin,3.2,121,,
Smaaash,4,121,,
Bake N Shake,4.3,120,,
Soul & Spice Co.,3.8,120,,
Mr Idli Xpress,2.6,120,,
Nathu's Pastry Shop,3.8,120,,
By The Way - Bellagio,2.9,120,,
Beijing Street,3.6,120,,
Paatra - Jaypee Siddharth,3.4,120,,
Chowringhee,3.7,120,,
Omazoni,2.5,120,,
Wah Ji Wah,2.2,120,,
Pizza Hut Delivery,2.8,120,,
Berco's,3.5,120,,
Sagar Ratna,2.7,120,,
Gayway Bakery,3.6,120,,
Punjabi By Nature Quickie,3.4,120,,
Punjabi Pakwaan,3,120,,
Manna Java World Cafe,3.5,119,,
Domino's Pizza,3.5,119,,
Empress of China - Eros Hotel,4.2,119,,
Slice Of Italy,2.2,119,,
Domino's Pizza,2.9,119,,
Old Town Cafe,3.6,119,,
Moti Mahal Delux Tandoori Trail,3.6,119,,
Hobing Korean Dessert Cafe,4.5,118,,
Pizza Hut,4.1,118,,
Michael's Kitchen,3.7,118,,
Tibb's Frankie,3.4,118,,
Patiala Shahi,3.5,118,,
Ashok Chaat Corner,4.1,118,,
Dilli Darbar,2.3,118,,
Cha-Shi,3.8,118,,
Tikka Town,3.2,118,,
Subway,3.6,118,,
Boheme Bar & Grill,3.3,118,,
Costa Coffee,3.7,118,,
Domino's Pizza,2.6,118,,
Chinese Dragon Cafe,3.4,118,,
Villa Gargano,3.7,117,,
Trattoria Tiramisu,4.1,117,,
Houlihan's,3.6,117,,
Monterrey Mexican Restaurant,3.7,117,,
Mitraao,3.4,117,,
Barbeque Nation,3.8,117,,
Haldiram's,3.1,117,,
Udupi Cafe,3.5,117,,
Friends Restaurant,2.8,117,,
Nature Hut Cafe,3.9,117,,
Code,2.5,117,,
Kebab Xpress,2.4,117,,
Defence Bakery,3.4,117,,
Yo China Restaurant,3.4,117,,
Tony's Italian Restaurant & Pizza,3.7,116,,
Soho Hibachi,4.3,116,,
Just for Chai,3.5,116,,
Spice Cube,3.5,116,,
Gole Hatti,3.8,116,,
Cafe Desire,3.5,116,,
For the Love of Cake,3.8,116,,
Hot Cherries,3.6,116,,
Pizza Hut,3.4,116,,
Om Di Hatti,3.7,116,,
Relax Restaurant,3.5,116,,
Burger King,3.6,116,,
Nakshatra Punjabi Rasoi,3.3,116,,
Chicane,2.2,116,,
Yellow Sapphire,3.7,116,,
Burger Liquor,4.1,116,,
El Pistolero,4.3,116,,
Mikata Japanese Steakhouse,3.6,115,,
Tirupati Restaurant,3.8,115,,
Bamboo Boat,3.8,115,,
Ion Club & Dining Lounge,2.6,115,,
Giani,3.6,115,,
Infinity - Crowne Plaza,3.5,115,,
Subway,2.5,115,,
Haji Shabrati Nihari Wale,4,115,,
Sid's Kitchen,3.8,115,,
Subway,3.2,115,,
Calendar's Kitchen by Satish Kaushik,4,115,,
High On Burgers,3.5,115,,
China Leaf,3.7,115,,
Night Food Xprs,2.3,115,,
Ponderosa,3.6,115,,
Liva,3.4,115,,
Cafemiz,4.4,115,,
Los Pablos,4.1,114,,
Bodensee,3.8,114,,
SOHO Sushi Bar & Deli,3.6,114,,
Maini Restaurant,3.3,114,,
Hot Box,2.6,114,,
Sandoz,3.4,114,,
Le Belvedere - Le Meridien,3.5,114,,
Moti Sweets,3.6,114,,
Subway,2.7,114,,
Apsara Restaurant,2.7,114,,
Pizza Hut Delivery,2.3,114,,
Perch Wine & Coffee Bar,4.3,114,,
Burger Point,3.8,114,,
Garam Masala Food Corner,3.3,114,,
Speedy Chow,3.6,114,,
Legacy of Awadh,3.3,114,,
Five Boroughs,4.1,114,,
The French by Simon Rogan - The Midland,4.3,114,,
Gymkhana,4.7,114,,
Upali's,4,114,,
Malo,3.2,113,,
HuHot Mongolian Grill,3.7,113,,
La Pino'z Pizza,4.4,113,,
Waterside - The Landmark Hotel,3.9,113,,
Southy,2.6,113,,
Bikanervala,3.4,113,,
G Lounge,3.2,113,,
Hookups Cafe & Lounge,3.3,113,,
Defence Bakery,3.6,113,,
Domino's Pizza,2.4,113,,
Civil House,4.2,113,,
Biryani Blues,3.9,113,,
Madaari,4.3,113,,
Bobby Punjabi Rasoi,2.6,113,,
Asian Fun,3.8,113,,
Southern Treat,2.8,113,,
Pizza Hut,3.3,113,,
Loretta,4.2,113,,
Home Plate Grill,4.2,112,,
China Cafe,4,112,,
Wai Yu Mun Ching,3.5,112,,
Domino's Pizza,2.4,112,,
Tandoori KnockOuts,4.2,112,,
Calzone- Dine & Rooftop Lounge,3.7,112,,
Amritsari Lassi Wala,3.8,112,,
Chocolatiers - The Chocolate Boutique,3.8,112,,
Flaming Wok,2.7,112,,
Domino's Pizza,3.2,112,,
Wah Ji Wah,2.1,112,,
The Coffee Garage,3.4,112,,
Greenr Cafe,4.6,112,,
Cook Du Kdu,3.1,112,,
Wakhra Swaad,4.1,112,,
Punjab Sweet House,3.5,112,,
Thai Garden,4.2,111,,
La Roma Pizzeria,3.5,111,,
Da pizzeria,3.6,111,,
India on my Plate - Fortune Select Excalibur,4,111,,
Bakar The Cafe,4.1,111,,
Noshi - Yum Asian Delivery,4.2,111,,
Domino's Pizza,3.2,111,,
Shree Rathnam,3.4,111,,
Hot Pot,2.5,111,,
Sampan - The Suryaa New Delhi,3.7,111,,
Laat Saab,4.1,111,,
Burnout,3.6,111,,
Bansi Vihar,3.4,111,,
Parrot's,3.4,111,,
Baba's,3.6,110,,
Brooklyn Blues,4.2,110,,
Moksha,3.7,110,,
Yo! China,2.6,110,,
Baljeet's Amritsari Koolcha,3.1,110,,
Punjabi Zaika,3.3,110,,
iGNiTE,3,110,,
Bikanervala,3.4,110,,
Kori's,3.6,110,,
Costa Coffee,3.5,110,,
Mughli,4.5,110,,
Nobu - One&Only,4,110,,
Samurai Japanese Cuisine & Sushi Bar,3.6,109,,
Basant,3.9,109,,
Dogs & Wiches,3.9,109,,
Nandlal Ka Dhaba,3.6,109,,
Apni Rasoi,2.8,109,,
Domino's Pizza,2.5,109,,
Starbucks,3.9,109,,
Sagar Ratna,2.7,109,,
The Wrap Factory,3.6,109,,
The Spot,3.5,109,,
The Kathis,2.4,109,,
Cafe Diva,3.8,109,,
Open Oven,3.4,109,,
Annapurna Sweets,3.9,109,,
Kolkata Biryani House,2.8,109,,
VNS Live Studio,3.5,109,,
Roti & Boti,3.9,109,,
Me??hur ?_z?_elik Aspava,4.6,109,,
Troll Tavern,2.2,108,,
Senor Iguanas,3.6,108,,
Shree Rathnam,2.9,108,,
McDonald's,3.7,108,,
Hungry Pistals,3.7,108,,
Kerala Hotel,3.9,108,,
Big Dragon,3.6,108,,
Chowringhee,3.6,108,,
Coffee & Cream,4,108,,
Big Wong,4.3,108,,
Puri Bakers,3.6,108,,
McDonald's,3.4,108,,
Tadqa Tandoor Express,3.6,108,,
DIOS The Neighbourhood Bistro,4.2,108,,
Moti Mahal Delux Tandoori Trail,2,108,,
Fish Tales Lakeside Grille,3.8,107,,
Sugar & Spice - Le Marche,2.9,107,,
Pizza Hut Delivery,3.6,107,,
Depot48,4.2,107,,
Beliram Degchiwala,3.5,107,,
Dunkin' Donuts,3.5,107,,
Friends Shawarma,3.5,107,,
Punjabi Chaap Corner,3.6,107,,
TBH - The Big House Cafe,4,107,,
Kapil Dev's Eleven,3.6,107,,
Wok On Fire,3.8,107,,
The Tamarind Tree,3.4,106,,
Kuuraku,3.9,106,,
Outback,3.4,106,,
Ginger Garlic,2.8,106,,
Anaicha's Food Joint,3.6,106,,
Free Spirit,4.3,106,,
The Sweeet Jar,3.9,106,,
Eleven to Eleven,3.1,106,,
Chaayos,3.6,106,,
Ashok Meat Wala,3.5,106,,
Anchor Bar & Kitchen,2.5,106,,
Kebab Xpress,3.2,106,,
Kebap 49,4.3,106,,
Eat On,3.7,105,,
Hot Stuff,3.5,105,,
Djinggs,4.1,105,,
Palaaram,3.7,105,,
Jon's head Grill,3.9,105,,
Moti Mahal Delux,2.6,105,,
Go Foodie,3.3,105,,
Hot Pot,3.1,105,,
Americana Kitchen and Bar,2.8,105,,
Ganesh Restaurant,3.8,105,,
Lanche,3.7,105,,
Biryani Blues,3.9,105,,
Otik Cake Shop,3.5,105,,
My Fathers Place,3.7,104,,
Rupes Burgers,3.7,104,,
Rudy's Tacos,3.6,104,,
Gurdas Ram Jalebi Wala,4.1,104,,
Cafe Marigold,4.1,104,,
Domino's Pizza,3.4,104,,
Tasty Tweets,3.9,104,,
Kobe Sizzlers,3.7,104,,
The G.T. Road,4.3,104,,
Chawnsan Chef,3.4,104,,
Red Chilli,3.1,104,,
Suribachi,3.5,104,,
New Punjabi Khana,3.9,104,,
Barista,3.6,104,,
Gupta's Restaurant,3.5,104,,
San Gimignano - The Imperial,3.7,104,,
Ahad Sons Restaurant,3.4,104,,
Pizza ??l Forno,4.7,104,,
The Latitude - Radisson Blu,3.9,103,,
Chi Kitchen,4,103,,
Bake N Shake,4.1,103,,
Nosh,4.1,103,,
Eat Street Express,4,103,,
Hangout - A House Of Kathis,3.7,103,,
Urban Punjab,3.2,103,,
Costa Coffee,3.5,103,,
Kamal's,2.8,103,,
Open Oven,3.4,103,,
Pizza Hut Delivery,3.6,103,,
Kay's Chicken Corner,3.6,103,,
The Night Shift,3.1,103,,
Cafe Rock 'n' Rolla,3.6,103,,
Cafe-18,2.5,103,,
RPM - Zanzi Bar,2.4,103,,
Snacks India,3.6,103,,
Caffe L'affare,4.1,103,,
Masaba???,4.2,103,,
Zigana Pide,4.3,103,,
Dovetail,3.8,102,,
The Punjabi Essence Restaurant,3.6,102,,
Bengal Sweet Corner,2.8,102,,
The Buffet Wagon,3.3,102,,
Little Dragon,2.9,102,,
The Night Delights,3.4,102,,
Tikka Junction,3.5,102,,
The Midnight Hub - C,2.6,102,,
Domino's Pizza,2.8,102,,
Khalsa Restaurant,2.9,102,,
Moti Mahal Delux - Kebab Trail,3.2,102,,
221 B Baker Street,3.4,102,,
Chopaal Marwari,2.8,102,,
Kaveri Restaurant And Caterers,3.4,102,,
The Screaming Eagle,3.7,101,,
Dunkin Donuts,3.9,101,,
Subway,2.8,101,,
Caffe Tonino,3.8,101,,
Subway,2.9,101,,
FreshMenu,3.9,101,,
Nuterro,4,101,,
Domino's Pizza,3.2,101,,
Stabbers,2.4,101,,
Hari Mirch Masala,2.8,101,,
Mitraz,3.4,101,,
HotMess Bakes,4.1,101,,
Frontier - The Ashok,3.7,101,,
Zouk Tea Bar & Grill,3.6,101,,
Machine Shed Restaurant,4.1,100,,
Champps Americana,3.5,100,,
Beach Box Cafe,3.7,100,,
Archie's Waeside,3.7,100,,
Hong Kong Express,3.2,100,,
JAL - A Jungle Restaurant,4.1,100,,
Moksh The Restro Lounge,4,100,,
Alaturka,2.5,100,,
McDonald's,3.5,100,,
Moti Mahal Delux,3.1,100,,
The Pindi,3.5,100,,
Crispy Tokri,3.1,100,,
Standard Burfee,3.8,100,,
Corner Sweets,3.2,100,,
Bhukkhar,3.9,100,,
Veggie-Licious,3.6,100,,
Babu Shahi Bawarchi,3.3,100,,
The Riding Guns Cafe,3.6,100,,
The Staircase Cafe by Doggy Style,2.6,100,,
The Oudh - The Ashok,3.6,100,,
Bodega,4.6,100,,
Dewsis,3.4,99,,
bu??no,3.8,99,,
Caf?? Riverrun,4.2,99,,
The Shooters Cafe,4.3,99,,
Chilli Pepper,3.3,99,,
Dadu Cutlet Shop,3.7,99,,
Moets Oh! Bao,3.6,99,,
Koyla Kebab,3.1,99,,
Ravi Raj Di Kulfi,3.6,99,,
Hunger Must Die,3.7,99,,
Max Grille and Kitchen,3.5,99,,
Paramjeet Machi Wala,3.6,99,,
Sandwich King,3.8,99,,
Bakerz Lodge,4.1,99,,
Barista,3.6,99,,
Kutty's South Indian Cafe,3.4,99,,
Being Truckers,3.8,99,,
Biryani Mahal,3.6,99,,
Winifreds,3.7,98,,
Buffalo Wild Wings,3.4,98,,
Chapter 1 Cafe,3.9,98,,
The Yellow Chilli,3.4,98,,
Kafe Kulture,3.8,98,,
Punjab Grill,4,98,,
Dunkin' Donuts,3.6,98,,
Baking Bad,3.7,98,,
Nirula's,2.5,98,,
Krispy Kreme,3.9,98,,
Bawa Chicken,3.5,98,,
Juneja's Eating Plaza,3.4,98,,
Tilak Munjal-R Panchkuian Samose Wale,3.5,98,,
Punjabi Dhaba,3.6,98,,
Domino's Pizza,2.4,98,,
Teacup,4.1,98,,
Funkey Monkey,3.8,97,,
Jim's Burgers,3.7,97,,
Gyan Vaishnav,3.9,97,,
Mr Brown,3.9,97,,
Tadka,3.8,97,,
Biryani Binge,3.9,97,,
Urban Kabab,3.1,97,,
Subway,3.8,97,,
Bhatia Sweets,3.5,97,,
Ved Dhaba,3.5,97,,
The Dragon Hucks,3.3,97,,
Cascades - The Grand New Delhi,3.6,97,,
Chanda Food,3.6,97,,
Sbarro,3.3,97,,
Italize,3.6,97,,
Culture Club - Bar De Tapas,4.5,97,,
Nusr-Et,4.1,97,,
Berry Patch Restaurant,4.3,96,,
Anchorage Cafe Restaurant Wine Bar,3.6,96,,
Surjit Food Plaza,3.5,96,,
Spice It - Hotel IBIS,2.7,96,,
The Old School Brew House,3.9,96,,
Qureshi's Kabab Corner,3.3,96,,
Ziya,4.3,96,,
Munch Nation,4,96,,
Subway,3.3,96,,
Green Bhojanalya,3.2,96,,
Basil Tree,2.4,96,,
Drinks At Stake - Bar Exchange,3.8,96,,
Gupta Chat Corner,3.7,96,,
The Bunk House,3.9,96,,
Hungry Heroes,3.8,96,,
Dirty Apron,4.3,96,,
Shree Rathnam,3.5,96,,
Vintro,3.9,96,,
Cafe Pipa,3.4,96,,
Desi Swag,4.3,96,,
El Amigos Kitchen,3.5,96,,
Blue Lassi,3.7,96,,
Chrystal Bowl Restaurant,3.3,96,,
Burger King,3.4,96,,
Fisherman's Plate,4.3,96,,
Gujarati Samaj Santushti,3.6,95,,
Moets Arabica,3.5,95,,
The Culinary Pitaara,4.2,95,,
Pasta La Vista,3.8,95,,
Penta Cafeteria,3.6,95,,
South Cafe,3.5,95,,
Lutyen's - Hotel The Royal Plaza,3.3,95,,
Classic,4,95,,
Domino's Pizza,2.8,95,,
Shree Rathnam,3.2,95,,
Malika Bakers Pastry Shop,3.4,95,,
Gaurav Pastry Palace,3.6,95,,
Majlis-e-Mughal,3.5,95,,
The Urban Brava,3.6,95,,
Gaga Manjero,4.9,95,,
HuHot Mongolian Grill,3.6,94,,
Time2Eat - Mama Chicken,3.6,94,,
Bade Bhai Ka Brothers' Dhaba,3.7,94,,
Madhuban Restaurant - Welcome Hotel Rama International,3.4,94,,
Y Cafe & Restaurant,4,94,,
Taste of Tamil Nadu,3.1,94,,
Burger Xpress,3.4,94,,
Juste Miam,3.9,94,,
Melange - The Pllazio Hotel,3.6,94,,
Kocktails & Kurries,3.1,94,,
Just Vada Pav,3.6,94,,
Urban Degchi Kitchen & Bar,2.6,94,,
Pradeep Pav Bhaji,3.8,94,,
Domino's Pizza,2.8,94,,
Southy,2.5,94,,
McDonald's,3.3,94,,
The Categorical Eat Pham,3.7,94,,
Meet You There,2.6,94,,
221 B Baker Street,3.5,94,,
Pizza Hut Delivery,2.3,94,,
Enigma Cafe,4,94,,
La Trattoria of Lavandula,3.8,93,,
Chang Garden,3.5,93,,
Texas Roadhouse,3.6,93,,
Chaudhary Bhojnalaya,3.6,93,,
Bun Intended,4.2,93,,
Oh! Fudge,3.8,93,,
Pizza Hut Delivery,2.2,93,,
Basant Restaurant,3.6,93,,
Laxmi Ice Cream,3.7,93,,
Maharashtra Food Stall,3.6,93,,
Gyan's,3.4,93,,
Chicago Pizza,2.5,93,,
Ding Ding,3.9,93,,
The Junction,3.9,93,,
Spicy N Karara,3.3,93,,
33 Food,3.2,93,,
Farratta,3.7,93,,
Dosa Corner,3.6,93,,
Chawla Family Restaurant,3.2,93,,
Subway,3.4,93,,
Meraki,4,93,,
Bar Estilo,4,93,,
Queen's Cafe,2.5,93,,
Bob Roe's Pizza,3.6,92,,
Cinch,2.6,92,,
Subway,3.2,92,,
Raj Restaurant,2.4,92,,
Giani's,3.7,92,,
RPM,2.4,92,,
SSKY Bar & Lounge,3.5,92,,
Mumu Dahlin,3.8,92,,
Shiv Dhaba,3.1,92,,
Amritsari Chaap Corner,2.9,92,,
The Tea Place by Manjushree,4.1,92,,
Quality Cake Shop,3.2,92,,
I Food You,3.9,92,,
Ice Pan Creamery,4.2,92,,
Hunger Strike,3.7,92,,
7th Heaven,3.7,92,,
Coffee Culture,4.3,92,,
Riverwalk Cafe,3.6,91,,
Bubby Fish & Chicken Corner,3.5,91,,
Mosaic - Country Inn & Suites,3.8,91,,
Power Play Resto Bar,2.8,91,,
Spice Route,3.6,91,,
Bon Bon Pastry Shop,3.5,91,,
Suresh Fast Food,3.7,91,,
Chaayos,3.9,91,,
Chawla Dillivala,2.7,91,,
Roll Club,3.3,91,,
New Shere Punjab Dhaba,3.6,91,,
Darvesh Corner,3.6,91,,
Stoned Age Kitchen,3.9,91,,
McDonald's,3.4,91,,
Bansal Sweets,3.9,91,,
McDonald's,3.4,91,,
Caf?? Foreground,4.2,91,,
Tippling Street,4,91,,
Canteen Till I Die,3.9,91,,
Madras Dosa & Chinese,2.7,91,,
Platinum Lounge,3.3,91,,
Movenpick,4,91,,
Chawla's?_,2.3,91,,
Aangan Horizon,4,90,,
SARA World Cuisine,3.9,90,,
McDonald's,2.7,90,,
Suburbia - The Empire,2.1,90,,
Domino's Pizza,3.3,90,,
The Darzi Bar & Kitchen,4.1,90,,
The Beer Cafe,3.4,90,,
New Vikrant Restaurant,3.5,90,,
Uncultured Cafe & Bar,4.3,90,,
Oberoi Biryani,2.9,90,,
Southy,3.1,90,,
Longitude - Le Meridien,3.9,90,,
Baked Buns,3.5,90,,
New Kadimi,3.3,90,,
Bengal Sweet Corner,2.8,90,,
Moti Mahal Delux - Tandooori Trail,2.7,90,,
Bao Cha,3,90,,
Club BW - The Suryaa New Delhi,3.6,90,,
Wake 'n' Bake Cafe,4,90,,
Mehfill,2.7,90,,
The Smokehouse and Grill,4.4,90,,
Watershed Cafe,3.7,89,,
Smoke House BBQ and Catering,3.8,89,,
Montage,3.6,89,,
Tony's La Pizzeria,3.6,89,,
Bhoj Restaurant,3.7,89,,
Eram Rooftop,3.5,89,,
Kalsang AMA Cafe,4.2,89,,
Kathi Junction,3,89,,
Delhi Darbar Dhaba,3.2,89,,
Samavar,3.3,89,,
Pul Bangash Wale,3.7,89,,
Chowki,3.7,89,,
Sugar & Spice - Le Marche,3.3,89,,
Bikanervala,3.4,89,,
Lucky's Bakery and Patisserie,3.9,89,,
Goosebumps,4.2,89,,
DomDom Biryani,3.7,89,,
Tribe,3.3,89,,
PS Wah Bhai Wah,2.6,89,,
Kuppies,3.8,89,,
Kathi Kabab,3.3,89,,
Hong Kong Cafe,3.6,88,,
Bourbon Street Grille,3.8,88,,
Blue House Cafe,4.3,88,,
Sugar & Spice - Le Marche,2.4,88,,
Food O Gram,4,88,,
Machan,3.3,88,,
Urban Kitchen,3.2,88,,
Zaikart,4.3,88,,
Suvidha Vegetarian,3.6,88,,
Haldiram's,3.5,88,,
Domino's Pizza,3.4,88,,
Sri Balaji,3.5,88,,
Angels in my Kitchen,3.2,88,,
CG's - Lounge Cafe Bar,3.9,88,,
Cafe 5H By The Kitchen Connect,4,88,,
Haowin,3.2,88,,
United Punjab,2.5,88,,
Subway,2.4,88,,
Jamie's Italian,3.9,88,,
Coco Safar,4.1,88,,
Pig and Whistle,4.1,87,,
Chokho Jeeman Marwari Jain Bhojanalya,4,87,,
Dunkin' Donuts,3.4,87,,
Cakesmith's Alley,4.3,87,,
Dunkin Donuts,4.1,87,,
Kitchen At 95 - Hyatt Regency,4.3,87,,
SGF - Spice Grill Flame,3.5,87,,
Cafe Coffee Day,3.2,87,,
Domino's Pizza,3.3,87,,
The Baithak's,3.2,87,,
Subway,2.8,87,,
Thela,3.5,87,,
Mehak Food Corner,3.2,87,,
Nazeer Foods,3.3,87,,
KFC,2.6,87,,
Giani,3.6,87,,
Standard Corner,3.6,87,,
Chinese Hut,3.6,87,,
Pizza Hut Delivery,2.7,87,,
Sagar Ratna,3.3,87,,
The Urban Chulha,3.5,87,,
The Creamery,3.6,87,,
The Hog Spot,3.8,87,,
Galleria de Paco,3.6,86,,
Karim's,3.3,86,,
Lucknow Mail,3.8,86,,
Abar Khabo,3.6,86,,
Chin Mi,3.9,86,,
Domino's Pizza,3.6,86,,
The Bake Studio,3.6,86,,
Chai Tapri,3.4,86,,
Unique Pastry Shop,3.4,86,,
Bake Bikaner,3.3,86,,
"34, Chowringhee Lane",3.3,86,,
Delicacy Foods,3.2,86,,
Hasty Tasty,3.3,86,,
Rocking Woods,2.6,86,,
"34, Chowringhee Lane",3.4,86,,
KFC,3.4,86,,
Dunkin' Donuts,3.7,86,,
Tucks and Bao,3.5,86,,
Almost Famous Burgers,4,86,,
Jimmy's Pancake House,4,85,,
Sandpiper Restaurant & Lounge,3.6,85,,
Tim's Bistro,3.9,85,,
Bengali Sweet House,3.6,85,,
Al Kuresh,3.3,85,,
Bagli's Kitchen,3.7,85,,
Pitstop,3.3,85,,
Grillz,2.5,85,,
The Laidback Cafe,3.8,85,,
Hira Sweets,2.5,85,,
The Destination,3.3,85,,
Samridhi,3.2,85,,
Heaven's Kitchen,3.3,85,,
Shree Rathnam,3.5,85,,
C L Corner,3.8,85,,
Domino's Pizza,3.4,85,,
The Cake Bucks,3.3,85,,
"34, Chowringhee Lane",3.3,85,,
Little Punjab,3.7,85,,
Domino's Pizza,2.8,85,,
Debon,3.5,85,,
Flavours Cafe,3.4,85,,
Kaloreez,3.7,85,,
Restaurant Mosaic @ The Orient,4.9,85,,
Kangri,3.4,84,,
19 Flavours Biryani,4.1,84,,
Hot Cherries,3.6,84,,
Angels in my Kitchen,3.1,84,,
Cafe Maple Street,3.5,84,,
Brio Cafe and Grill,3.6,84,,
Subway,3.6,84,,
Prince Chaat Corner,3.7,84,,
Brunchilli,3.2,84,,
Spicy by Nature,2.7,84,,
New Baba Da Dhaba,2,84,,
Dilli BC,4.4,84,,
Rustom's Cafe & Bakery,4.1,84,,
Raj Bhature wala,3.4,84,,
Karim's,2.5,84,,
Soo Yung by the backyard,3.4,84,,
Singh's Kitchen,2.7,84,,
Mumbai Matinee,3.5,84,,
Domino's Pizza,2.1,84,,
Dilli 6,2.8,84,,
Percolator Coffee House,3.6,84,,
Ting Thai Caravan,4.1,84,,
Carbon Bistro,4.1,84,,
The Black Bamboo,4.4,84,,
Las Palmas,3.8,83,,
Ichiban Hibachi Steakhouse & Sushi Bar,3.7,83,,
