Restaurant Name,Aggregate rating,Votes,correl,
Barbeque Nation,4.5,1450,,
Maharaja Bhog,4.1,1448,,
The Vintage Avenue,3.9,1439,,
Chili's,4.5,1439,,
Pind Balluchi,3.6,1434,,
United Kitchens of India,4.1,1431,,
Boombox Cafe,3.6,1428,,
Mazzaro's Italian Market,4.9,1424,,
Spice Kraft,4.8,1424,,
Mr. Dunderbak's Biergarten and Marketplatz,4.9,1413,,
Onesta,4.3,1413,,
Tibby's New Orleans Kitchen,4.7,1412,,
Peg Leg Pete's,4.4,1408,,
Coffee Cup,4.6,1408,,
Hard Rock Cafe,4.5,1388,,
Indus Flavour,4.1,1384,,
FLYP@MTV,3.9,1379,,
21 Gun Salute,3.9,1365,,
Salt Rock Grill,4.2,1363,,
My Bar Grill,3.3,1363,,
Three Dots & A Dash,3.9,1354,,
Tresind - Nassima Royal Hotel,4.9,1352,,
SALT,4.3,1351,,
Fresc Co,3.8,1347,,
Mama's Fish House,4.9,1343,,
Earl of Sandwich,4.7,1341,,
Shake Square,3.7,1333,,
Mamagoto,4.1,1330,,
Sakley's The Mountain Cafe,4.3,1327,,
Yauatcha,4.7,1326,,
Rumba Island Bar & Grill,4.6,1321,,
Paradise,3.8,1317,,
Jungle Jamboree,3.8,1317,,
Sita Ram Diwan Chand,4.3,1317,,
2 Bandits Lounge & Bar,3.9,1316,,
Patang - The Revolving Restaurant,3.7,1315,,
Sbarro,3.5,1311,,
J'adore Chocolatier,4.7,1311,,
Karak?_y G?_ll?_o??lu,4.7,1305,,
Indian Coffee House,3.3,1300,,
Tea Villa Cafe,4.1,1295,,
Caf?? Tu Tu Tango,4.6,1293,,
Hawkers Asian Street Fare,4.6,1293,,
Oh! Calcutta,4.4,1293,,
Koramangala Social,4.5,1288,,
Kinbuck 2,3.9,1286,,
Rasoi Ghar,4.3,1281,,
The Fish House,4,1270,,
Cactus Flower Cafe,4.2,1268,,
Coal Barbecues,4.6,1267,,
Chili's,4.8,1262,,
Indian Grill Room,4.5,1262,,
Punjabi By Nature,3.7,1256,,
Yellow Dog Eats,4.9,1252,,
Punjab Grill,4.3,1252,,
Farzi Cafe,4.3,1240,,
Infantaria,3.7,1221,,
India Restaurant,4.6,1219,,
Basil With A Twist,4.5,1210,,
Craft,4.1,1207,,
