is chain,Yes,
,,
Restaurant Name,Average of Aggregate rating,Average of Votes
Wok On Fire,3.8,180.6666667
Big Wong XL,3.95,180.5
Biryani Art,3.7,176
Dilli BC,4.25,175.5
Anjlika Pastry Shop,3.75,174.5
Underdoggs Sports Bar & Grill,4.35,173
Chaophraya,4.166666667,168.3333333
Burger Hut,3.2,167.5
The Mad Teapot/The Wishing Chair,4.25,167
Beliram Degchiwala,3.5,166.5
Jamie's Italian,4.05,165.75
Pizza Hut,3.32,165.3666667
Habibi,3.4,165
Gymkhana,4.7,164
Americana Kitchen and Bar,2.6,163
Spice Route,3.5,159.5
Fat Lulu's,3.75,159.5
Ashoka Restaurant,3.55,159
Paapi Paet,3.45,159
Kamboj's,2.6,157.5
Sandwich King,3.65,157
Texas Roadhouse,3.86,156.6
Litti.In,3.4,156
Chai Point,3.1,155.75
Angels in my Kitchen,3.4125,155.125
Bun Intended,3.95,153.75
All About Food,1.95,152.5
Bon Bon Pastry Shop,3.3,152
Alaturka,2.95,151
Comesum,2.35,150
Bake N Shake,4.2,148.6666667
Mysore Cafe,3.6,145.5
BTW,3.285714286,142.5714286
D?_vero??lu,4.3,141.5
Khana Khazana,1.85,140.5
Blue Tokai Coffee Roasters,3.85,139.5
Open Oven,3.475,138.25
Chaayos,3.538888889,137.3888889
Otik Cake Shop,3.65,135.5
Mad Over Donuts,3.74,135.2
Urban Punjab,3.433333333,134.3333333
Chalte Firte Momos & Special Foods,3.35,133.5
La Pino'z Pizza,3.966666667,131.3333333
KFC,2.744444444,129.5
Biryani Blues,3.666666667,129.3333333
Goosebumps,3.8,129
Chutneez Restaurant Lounge & Bar,2.55,128
Hong Kong Express,3.475,127.5
Pho King Awesome,2.05,127
Nite Bites,3.175,126.75
Big Fat Sandwich,3.2,126.5
New Kadimi,2.9,126
Hwealthcafe,3.8,126
Bakers Oven,3.6,126
Moti Mahal Delux- Legendary Culinary,3.6,124.5
Drifters Cafe,4,124
Twisted Tacos,3.6,121
Beijing Street,3.7,121
Baker's Stop,3.75,120.5
Sibang Bakery,3.7,120
Nirula's,2.65,119.5
Drool Waffles,3.65,118.5
FreshMenu,3.725,116.75
Little Italy,3.55,113.5
Oberoi Biryani,2.75,112.5
Dabba Meat,3.25,112
Black Pepper,2.05,111.5
McDonald's,3.339583333,110.2291667
The Artful Baker,2,110
Green Leaf,3.25,110
First Eat,3.8,109.5
Finger Licious,2.2,108.3333333
Puri Bakers,3.725,108
Southy,2.716666667,107.1666667
The Chocolate Room,3.5,107
Arabian Delites,3.6,107
Timboo Cafe,4.2,106.5
Little Chef,3.4,106
Shyam Sweets,3.45,104.5
Stop My Starvation,4.3,104.5
Food Scouts,4.433333333,104
Fast Trax,3.3,103.5
Tikka Town,3.033333333,103
Mithaas,3.05,102.5
Wow! Momo,2.754545455,101.7272727
The Pint Room,3.7,101.5
Doughlicious,3.5,101.3333333
The Golden Dragon,2.833333333,101.3333333
Hot Cherries,3.6,100
Chowringhee,2.5625,98.125
Patiala Shahi,3.45,98
Subway,2.907936508,97.20634921
Chick-fil-A,3.7,96
Bengal Sweet Corner,2.8,96
Say Cheese,2.7,96
Mr. Brown,3.866666667,95
Moon Bite,3.2,95
Big Dragon,3.35,94.5
Jahangeer Foods,3.25,94
Dunkin Donuts,4,94
Crudo Juicery,4.3,93.5
Yumm Biryani,3.2,93.5
Taste of India,2.1,93
Chawla's,3.35,92.5
Nazeer Delicacies,3.3,92
Goli Vada Pav No. 1,2.75,91.33333333
Captain Bill$ Deliverz,2.533333333,91
Tamura,3.4,91
Let's Noodle,1.3,91
Baked Buns,3.4,91
Mitra Da Dhaba,2.1,91
Dezertfox,3.9,90.5
Fit Bites,3.75,90
La Americana,3.65,90
Kebab Xpress,3.025,88.5
Hungry Minister,3.5,88
4700BC Popcorn,3.5,88
Sugar & Spice - Le Marche,2.9,87.75
Cake Palace,3.25,85.5
Shawarma Wala,2.066666667,85
Kulcha King,1.9,85
Wrapss,2.566666667,85
Movenpick,3.966666667,84.33333333
Domino's Pizza,2.740506329,84.08860759
Moti Mahal Delux Tandoori Trail,2.733333333,83.5
Nagpal's,3.45,83
The Tandoor,3,83
Sethi's The Cake Shop,3.35,83
Burger Joint,1.75,82.5
Perfect Bake,3.55,82.5
Moksha,3.45,82
Caff?? La Poya,1.85,82
Cook Du Kdu,3.15,82
Kanha Sweets,3.45,82
Hunger Strike,3.5,81
Pizza Hut Delivery,2.657894737,80.36842105
Los Agaves,2.05,80
Chinese Corner,1.24,79.6
Romi Da Dhaba,3.15,78
Hornbill,3.55,78
Kanwarji's,3.433333333,77.33333333
Hotel Malabar,3.3,76.5
Cones & Curries,1.85,76.5
High On Burgers,3.35,76
Paramjeet Machi Wala,3.5,76
Frozen Factory,3.8,75.5
Country Curries,3.1,73.5
Moti Mahal Delux,3,73.07142857
Ashok Meat Wala,3.55,73
Manohar Bikkaneri,3.7,72.5
Shree Rathnam,3,72.2
221 B Baker Street,3.366666667,71.66666667
Bobby Tikki Wala,2.9,71.5
Shawarma King's,3.4,71.5
Gupta Chat Corner,3.5,71.5
Bhoj Restaurant,3.25,71.5
Kerala Cafe,3.066666667,71.33333333
Koyla Kebab,3.35,70.5
Le Chef,3.15,70
The Chai Story,3.7,68.66666667
Flying Cakes,2.233333333,68.33333333
Dilli Darbar,3.1,68
Sanjha Chulha,2.416666667,66.33333333
Punjabi Pakwaan,3.133333333,66.33333333
Al Bake,2.95,66
Chawla's Tandoori Junction,2.266666667,65
"34, Chowringhee Lane",2.791666667,64.75
Food Express,1.8,64
Night Food Xprs,2.7,63.5
Cocoberry,3.422222222,62.66666667
The Kathis,3,61.75
Zaika,2.85,61.25
Muffins,2.7,61
Chawla's Tandoori Xpress,2.85,60
Hot Stuff,3.4,59.5
Habibi Express,1.5,59
Laxmi Ice Cream,3.55,59
Angeethi,3.05,59
bu??no,3.75,58.5
Chawnsan Chef,3.4,58.5
Hot Pot,2.075,58
Pasta Hut,3.4,58
Gullu's,3,57
New Punjabi Khana,3.5,56
Punjabi Zaika,2.35,55.75
Cafe Coffee Day - The Lounge,2.8,55
Chaska,2.375,55
Coldpress Company,4.05,54
Roll Club,3.066666667,54
Wah Ji Wah,2.342105263,54
Kolkata Kathi Roll,3.1,53
Chicago Pizza,2.325,52.75
Oh Buoy,3.35,52.5
The Diet Kitchen,3.75,52.33333333
Giani's,2.781818182,52.27272727
Burger Point,3.145454545,52.18181818
Chawla's?_,2.271428571,52
Grillz,2.35,52
Chawla's Chic Inn,3.033333333,51.66666667
Sri Balaji,2.333333333,51.66666667
Halki Aanch,3,51.5
Raj Restaurant,2.75,51.5
Singz,2.7,51.5
Wagh Bakri Tea Lounge,3.6,51
The Culinary Pitaara,3.5,51
Chawla Family Restaurant,3.05,50.5
Relax Xpress,3.2,50
Tikka Junction,3.433333333,50
Red Chilli,2.5,49.4
Shri Ram Restaurant,2.85,49
The Bake Studio,3.35,49
Viva Hyderabad,2.38,48.6
Prince Chaat Corner,3.45,48
South Cafe,1.75,48
Sushiya Express,3.633333333,48
Foodhall,2.533333333,47.66666667
Biryaniwala,2.35,47
Hira Sweets,3.033333333,46.66666667
Bikano Chat Cafe,2.8,46.5
Polka Pastry & Snack Bar,3.1,46.33333333
Hurry's Paratha,3.5,46
Punjab Restaurant,3.266666667,45.66666667
Madras Dosa & Chinese,1.35,45.5
Sumo Sushi,3.95,45.5
Sandoz,2.4,45
Go Kylin,3.15,45
Shankar Fast Food,2.95,44.5
South Indian Corner,3.4,44.5
Jaiveer Naan & Chaap,2.9,44.33333333
JSB Evergreen Snack & Sweets,3.15,44
Kathi Junction,1.625,43.5
Pitstop,1.65,43.5
Costa Coffee,2.415,43.05
Pudding & Pie,3.166666667,43
Flavours,3.1,42.5
The Dosa King,3.05,42
Madhuvan Chinese Fast Food,2.6,42
Oberoi's,3.4,41.5
Nukkadwala,2.82,41.2
Vaishno Punjabi Dhaba,3.25,41
Spooky Sky,3.45,41
Apni Rasoi,1.941666667,40.75
Qureshi Kabab Corner,3.65,40.5
Zaaika Junction,2.85,40.5
A Piece of Paris,3.75,40.5
ZASTY,3.5,40
Kumar Pastry Shop,3.25,39.5
Tea Halt,2.866666667,39.33333333
Behrouz Biryani,3.184615385,39.15384615
Chinese King,2.5,38.5
Raj Rasoi,1.65,38
Midnight Hunger Hub,4.033333333,38
Veg Ex,3.6,37.66666667
Riyaz Chicken Corner,1.7,37.5
Druk,3.45,37.5
SGF - Spice Grill Flame,3.2,37.4
Chinese Hut,2.728571429,37.28571429
Keventers,2.870588235,37.14705882
Tibb's Frankie,2.842857143,37.14285714
Barista,3.072727273,37.04545455
Hyderabad House,3.1,37
Wheelyz,2.85,36.5
Mr. Sub,2.583333333,36.16666667
Bats On Delivery,2.7,36
Punjabi Dhaba,2.2,35.66666667
Brijwasi Restaurant,3,35.5
Time To Tea,3.1,35.5
Madras Cafe,1.918181818,35.36363636
Punjabi Rasoi,1.25,34.5
Mitthu Tikki Wala,3.3,33.5
Fabulous Cake Bites,3.5,33.5
The Kitchen,2.95,33.5
Hasty Tasty,2.033333333,33
Reena Restaurant,3.1,33
Just Vada Pav,1.2,32.33333333
Chimney,3.033333333,31.66666667
Pakwan,2.075,31.5
Haldiram Bhujiawala,3.45,31
Momo-Cha,2.725,31
Shree Durga Dosa,3.05,31
Vadapav Junction,3.45,31
Papa Veg Chinese Food,3.35,31
The Chinese Hut,2.86,31
Muradabadi Shahi Biryani & Chicken Corner,1.966666667,30.66666667
Cakes & Bakes,3.166666667,30.66666667
Hot Joint Fast Food,1.3,30.5
South Indian Cafe,3,30
Senorita's,1.85,30
Garota de Ipanema,4.6,29.5
Bake Club,3.15,29.5
The Blue Tandoor,2.75,29.5
Giani,2.689655172,29.44827586
Cafe Coffee Day,2.419277108,29.25301205
Tea Trails,1.85,29
Chawla's 2,1.7,29
Burger Xpress,1.625,29
BarShala,3.266666667,28.33333333
Rainbows,3.1,28.25
Roti Aur Boti,3.35,28
Mithaas Sweets,2.9,28
Weird Time Food,3.35,28
Mosaic - Country Inn & Suites by Carlson,3.45,28
Kolkata Hot Kathi Roll,2.95,28
Bunty Dhaba,2.833333333,28
Punjabi Chaap Corner,2.35,27.625
Midnight Hunger,3.45,27.5
Miam,3.55,27.5
Ammu's South Indian Restaurant,2.95,27.5
Kitchen King,1.3,27.5
Sonya Bakery Cafe,3.4,27
Public Cafe,2.4,26.75
Kati Roll Cottage,3.6,26.5
Nawabi Mughlai Zaika,3.25,26.5
Punjabee's Darbar,3.15,26.5
Gopala,3.29,26.4
Street Foods by Punjab Grill,1.933333333,26.33333333
The Night Owl,1.4,26
Zooby's Kitchen,3.15,26
Jack Po!tato's,3.4,26
Urban Dhaba,2.85,25.5
Gulab,2.95,25.5
Clever Fox Cafe,3.1,25.5
Mirchievous,3.5,25
Pandey Chinese Hut,2.7,25
GoGourmet,2.65,24.75
Gupta Ji Ka Dhaba,1.3,24.5
KB's Kulfi & Icecream,3.133333333,24.33333333
Shahenshah,3.133333333,24
Ramesh Vaishno Dhaba,3.1,24
Green Restaurant,1.8,23.5
Coco Bambu,4.55,23.5
Fresh n Refresh,3.1,23
Punjabi Tadka,2.55,22.75
True Blue,3.166666667,22.66666667
New Zaika,2.75,22.5
Bhappe Di Hatti,3.3,22.5
The Cake Shop,1.65,22
Super Snacks,1.55,22
Bharat Sweets,3.333333333,21.66666667
Bawarchi,3.125,21.5
Metro Fast Food,2.65,21.5
Shamji Sweets,3.05,20.5
EDC Mania,1.65,20.5
Aggarwal Sweets India,1.733333333,20.33333333
Hangchuaa's Chinese Food Corner,2.966666667,20
Havmor Ice Cream,3.366666667,19
Green Chick Chop,2.67254902,18.90196078
Momos House,3.1,18.5
Snack Junction,3.1,18.5
Chao Cart,3.2,18
Flirty Momo's,2.92,17.8
Liquid,3.6,17.5
Gelato Vinto,2.975,17.5
Pizza Diet,2.75,17.5
China Hut,2.7,17
Chaap Point,3.2,17
Mahi Rasoi,1.3,17
Faaso's,1.8,17
Fluffles - The Fluffy Waffle Co.,3,17
Spanish Delights,3.3,16.5
Standard Sweets,1.8,16
Pizza Yum,2.9,16
Konetto Pizza,1.75,16
Khalsa Veg Corner,3.25,16
The Belgian Fries Company,1.85,16
