unique ,sum,,,sum,(All)
 Gujarati,3,,, Dim Sum,3
 Street Food,317,,, British,3
 Beverages,136,,,Modern Australian,3
 Biryani,63,,, Izgara,2
 Hyderabadi,16,,, Naga,2
 Charcoal Grill,3,,,Tapas,2
 Chettinad,7,,,Western,2
 Goan,8,,,South American,2
 Belgian,2,,, Belgian,2
 Burmese,4,,,Drinks Only,2
 Salad,89,,,Oriya,2
 African,6,,,Asian Fusion,2
 Iranian,3,,, Bihari,2
 Juices,17,,,Singaporean,2
 Mithai,89,,,African,2
 Lebanese,30,,, Singaporean,2
 Lucknowi,7,,, Cantonese,2
 Tibetan,21,,, Portuguese,2
 Finger Food,27,,, Deli,2
 Nepalese,5,,,Taiwanese,2
 Pakistani,4,,, Scottish,2
 Kerala,7,,, Modern Indian,2
 Assamese,1,,, Parsi,2
 Andhra,6,,,Grill,2
 Awadhi,6,,,Salad,2
 Mangalorean,4,,, Teriyaki,2
 Maharashtrian,3,,,New American,2
 Indonesian,8,,,Kiwi,1
 Kashmiri,7,,, Durban,1
 Bengali,11,,,Cuban,1
 Naga,2,,,Patisserie,1
 British,3,,, Cuban,1
 Raw Meats,4,,,Peranakan,1
 Modern Indian,2,,, Bubble Tea,1
 Western,8,,,Persian,1
 Kiwi,5,,,Sri Lankan,1
 Pub Food,1,,,Peruvian,1
 Fish and Chips,1,,, World Cuisine,1
 Scottish,2,,,Charcoal Grill,1
 Dim Sum,3,,,Tex-Mex,1
 Contemporary,4,,, B?_rek,1
 Curry,6,,,Turkish Pizza,1
 Patisserie,3,,,Pub Food,1
 South African,6,,, Assamese,1
 Sri Lankan,3,,, Argentine,1
 Turkish Pizza,7,,,Cuisine Varies,1
 Izgara,2,,,Ramen,1
 B?_rek,1,,, Soul Food,1
 World Cuisine,1,,, Canadian,1
 Argentine,1,,, Ramen,1
 Soul Food,1,,,Malwani,1
 Singaporean,2,,,Irish,1
 Cantonese,2,,,Gourmet Fast Food,1
 Parsi,2,,, Fish and Chips,1
 Malaysian,15,,, Malay,1
 Moroccan,4,,,Argentine,1
 Bihari,2,,,Scottish,1
 Armenian,3,,,Cajun,1
 Ramen,1,,,Australian,1
 Durban,1,,, Mineira,1
 D?_ner,1,,, D?_ner,1
 Bubble Tea,1,,, Persian,1
 Malay,1,,, Pub Food,1
,,,,Indonesian,1
,,,,(blank),0
,,,,Grand Total,19258
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
