unique ,u1,u2,u3,u4,,v1,v2,v3,v4,sum,,number of restaurant ,percentage 
Assamese,Japanese, Steak, Sushi,,,3,0,0,0,3,,,3%
Middle Eastern,Japanese, Steak, Sushi,,,3,0,0,0,3,,,3%
Nepalese,Seafood, Tapas, Bar Food,,,4,0,0,0,4,,,4%
Naga,Italian, Pizza,,,,6,0,0,0,6,,,6%
Salad,American, Breakfast, Diner,,,2,0,0,0,2,,,2%
Charcoal Grill,Bar Food, Steak,,,,1,0,0,0,1,,,1%
Peranakan,American, Southern, Southwestern,,,1,0,0,0,1,,,1%
Sunda,Southern,,,,,3,0,0,0,3,,,3%
Indonesian,Mexican,,,,,1,0,0,0,1,,,1%
Asian Fusion,Japanese, Korean,,,,2,0,0,0,2,,,2%
Taiwanese,Breakfast, Burger, Sandwich,,,2,0,0,0,2,,,2%
Kiwi,Breakfast, Sandwich,,,,1,0,0,0,1,,,1%
Contemporary,American, Burger, Sandwich,,,4,0,0,0,4,,,4%
Scottish,American, Italian, Pizza,,,1,0,0,0,1,,,1%
Ramen,American, Italian, Pizza,,,1,0,0,0,1,,,1%
Argentine,American,,,,,1,0,0,0,1,,,1%
Grill,International, Southern, Vegetarian,,,2,0,0,0,2,,,2%
Sri Lankan,Sandwich,,,,,1,0,0,0,1,,,1%
Kebab,Italian,,,,,10,0,0,0,10,,,10%
Patisserie,Asian, Japanese, Sushi,,,1,0,0,0,1,,,1%
World Cuisine,Mexican, Spanish,,,,3,0,0,0,3,,,3%
Turkish Pizza,International, Southern,,,,1,0,0,0,1,,,1%
Restaurant Cafe,Bar Food,,,,,4,0,0,0,4,,,4%
 Japanese,Italian, Pizza, Sandwich,,,0,29,21,10,60,,,63%
 Asian,Burger, Bar Food,,,,0,48,64,31,143,,,150%
 Sushi,Desserts, Latin American, Argentine,,,0,35,23,4,62,,,65%
 Korean,Chinese, Steak,,,,0,5,2,1,8,,,8%
 European,American, Caribbean, Seafood,,,0,46,28,7,81,,,85%
 Filipino,International, Tapas, Vegetarian,,,0,1,1,1,3,,,3%
 Mexican,Desserts, Sandwich, Southern,,,0,54,33,24,111,,,116%
 Ice Cream,American, Burger,,,,0,35,7,3,45,,,47%
 American,Breakfast, French,,,,0,84,15,9,108,,,113%
 Pizza,BBQ,,,,,0,110,25,8,143,,,150%
 Bakery,American,,,,,0,67,27,19,113,,,118%
 French,Desserts, Italian, Pizza,,,0,13,0,2,15,,,16%
 Cafe,Italian, Pizza, Sandwich,,,0,40,25,14,79,,,83%
 Brazilian,Mexican,,,,,0,3,3,0,6,,,6%
 Grill,Bar Food, Sandwich, Seafood,,,0,8,6,1,15,,,16%
 Latin American,Mexican, Southwestern, Sushi,,,0,3,1,0,4,,,4%
 Burger,Steak,,,,,0,98,26,5,129,,,135%
 Bar Food,Indian,,,,,0,24,6,0,30,,,31%
 Healthy Food,German,,,,,0,19,6,67,92,,,96%
 Sandwich,Vietnamese,,,,,0,22,24,0,46,,,48%
 Seafood,Burger, Seafood,,,,0,67,35,18,120,,,126%
 BBQ,Thai,,,,,0,13,1,1,15,,,16%
 International,Mexican,,,,,0,5,0,1,6,,,6%
 Italian,Modern Australian,,,,,0,240,189,85,514,,,538%
 Mineira,Pizza, Bar Food,,,,0,1,0,0,1,,,1%
 North Eastern,American, Bar Food,,,,0,4,0,0,4,,,4%
 Arabian,Italian, Pizza,,,,0,13,2,7,22,,,23%
 Chinese,Breakfast, Sandwich,,,,0,1156,594,81,1831,,,1917%
 Tapas,American, Seafood, Steak,,,0,11,5,0,16,,,17%
 Steak,European, Spanish,,,,0,21,26,1,48,,,50%
 Breakfast,Latin American, Steak,,,,0,17,0,0,17,,,18%
 Southern,American, Burger, Sandwich,,,0,9,10,0,19,,,20%
 Spanish,American, Bar Food,,,,0,6,3,2,11,,,12%
 Caribbean,American, Burger,,,,0,3,0,0,3,,,3%
 Southwestern,Pizza,,,,,0,2,5,0,7,,,7%
 Thai,American, Burger,,,,0,110,50,19,179,,,187%
 Mediterranean,Pizza,,,,,0,41,21,9,71,,,74%
 Diner,Mexican,,,,,0,4,2,0,6,,,6%
 Vietnamese,Italian, Seafood, Vegetarian,,,0,2,3,5,10,,,10%
 Canadian,Sushi, Thai,,,,0,1,0,0,1,,,1%
 Tex-Mex,Japanese, Sushi, Teriyaki,,,0,10,7,0,17,,,18%
 Teriyaki,Breakfast,,,,,0,1,1,0,2,,,2%
 Coffee and Tea,Brazilian,,,,,0,9,1,0,10,,,10%
 Vegetarian,American, BBQ, Steak,,,0,4,18,1,23,,,24%
 Desserts,American,,,,,0,407,46,16,469,,,491%
